# tool
acid vial | animal scent | antitoxin | astrolabe | bandoleer | bear trap | bedroll | beeswax | bell | bellows | birdcage | blank book | blanket | block and tackle | boltcutters | bottle | bucket | bullseye lantern | caltrops | candle | censer | chain | chalk | chisel | climbing hook | compass | copper wire | crowbar | dice | door ram | ear trumpet | ether | fire oil | fishing hook | flashbomb | flashpowder | garlic | glue | grappling hook | grease | hacksaw | hammer | hand drill | hemp rope | hog holder | hooded lantern | hound | hourglass | incense | iron pot | iron tongs | lantern | large sack | lockpicks | lodestone | magnifying lens | manacles | marbles | metal file | mortar and pestle | mule | net | padlock and key | pen and ink | pickaxe | pitchfork | piton | pliers | poison | pole (10’) | pure alcohol | rat | rum | salve | scissors | sealing wax | sewing needle | sextant | shovel | silk rope | sledgehammer | smokebomb | smoked goggles | soap | spikes | spyglass | stake | steel mirror | sundial | tent | thick gloves | tinderbox | torch | trumpet | twine | vial | waterskin | whetstone | whistle | wolfsbane

# misc. item
*book* | *clothing* | *fabric* | *food* | *ingredient* | *material* | *organ* | *potion* | *tool* | *treasure* | *weapon* | amulet | arrowhead | birdcage | bowl | box | brooch | button | card | cipher | clock | coin | comb | crystal | cup | degree | doll | drum | egg | embroidery | feather | figurine | finger bone | flag | flute | food recipe | fork | game piece | gem | hair oil | hairbrush | handkerchief | horn | icon | jar | key | knife | ladle | leg bone | lens | letter | list of demands | lock of hair | locket | lotion | lute | lyre | manifesto | map | mascara | military orders | mirror | orb | paintbrush | painting | passport | pearl | perfume | pipe | pipes | poem | portrait | potion recipe | prayer | pressed flower | purse | puzzle box | pyramid | razor | ribbon | ring | rouge | shopping list | signet ring | sketchbook | skull | snuffbox | spatula | spell scroll | spellbook | spoon | star chart | ticket | tooth | treaty | tuning fork | wand | warrant | wine | yarn

# book
*city theme* | *disaster* | *domain* | *dungeon* | *faction* | *magic school* | *monster* | *profession* | *room theme* | *spell* | adventure novel | agriculture | almanac | anatomy | ancient history | archaeology | architecture | astrology | bestiary | biography | blackmail | botany | calendars | comedic novel | commerce | condemnation | confession | conspiracies | cookbook | criminal secrets | cryptography | culture | customs | diplomacy | divination | epic poems | espionage | ethics | etiquette | fashion | finance | fishing | folklore | genealogy | geography | geology | ghosts | gods | hagiography | heraldry | horror stories | hunting | husbandry | journal | language | laws | letters | libraries | logic | lost empires | lost places | love poems | mathematics | medicine | modern history | music | mystery novel | mythology | nation | navigation | oceanography | painting | planar studies | politics | potion of *potion* recipe | prayers | propaganda | prophecies | psychology | region | religion | rhetoric | romantic novel | sages | sayings | sculpture | secret societies | shipbuilding | shrines | siegecraft | songs | state secrets | sword fighting | theology | traps | treasures | utopian novel | war chronicle | who’s who | witch-hunting

# clothing
alb | arm wrap | arming doublet | bascinet | belt | beret | bicorn hat | blouse | bodice | bonnet | boots | bracelet | braies | breastplate | breeches | buckler | cap | cape | cassock | chaperon | chasuble | cincture | cloak | clogs | coat | codpiece | corset | cotte | cowl | cravat | curiass | dalmatic | doublet | dress | earing | eyepatch | fez | frog mouth helm | gambeson | gauntlet | girdle | gloves | gorget | gown | great helm | greaves | hat | hauberk | headdress | helmet | hood | hose | hounskull helm | houppeland | jacket | jerkin | kerchief | kilt | kirtle | leg wrap | maniple | mask | mitre | nasal helm | necklace | nightcap | pauldron | petticoat | pocket | pointed hat | purse | rerebrace | robe | sabatons | salet | sandals | sash | scarf | shield | shirt | shoes | skirt | sleeves | slippers | smock | socks | stockings | stole | surcoat | surplice | tabard | tower shield | tricorn hat | trousers | tunic | turban | vambrace | veil | vest | wimple

# fabric
*animal* skin | *monster* skin | alligator skin | alpaca wool | badger skin | bamboo weave | barkcloth | bearskin | beaver skin | blanket | brass | brocade | bronze | burlap | calfskin | calico | camel hair | camel skin | canvas | cashmere wool | cat hair | chambray | chiffon | chino | coconut fiber | copper | corduroy | cotton | cow skin | crepe | damask | deerskin | denim | dog hair | eel skin | felt | fish skin | fishnet | flannel | flax | fleece | fox skin | gauze | gingham | goatskin | grass weave | hemp | herringbone | horse hair | horse skin | iron | jute | lace | lamb wool | lambskin | leather | leopard skin | linen | lion skin | llama wool | mail | mesh | mink fur | mink skin | mohair wool | muslin | oilcloth | ostrich skin | otter skin | patchwork | pig skin | quilt | rabbit skin | rags | rat skin | reindeer skin | sailcloth | satin | sealskin | seersucker | sheep wool | sheepskin | silk | snake skin | squirrel skin | steel | stingray skin | suede | taffeta | tartan | terrycloth | tiger skin | tinsel | tulle | tweed | twill | velour | velvet | wolf skin | yak wool

# decoration
*color* | *item trait* | *scent* | *symbol* | antique | beaded | beast motif | bells | bird motif | bloody | bones | buckles | buttons | chains | chimes | cloud motif | coat of arms | cords | decorative coins | distressed | down-stuffed | emblem | embroidered | enamel pins | feathers | flamboyant | flame motif | flower motif | flowers | food-stained | formal | fringe | fur lined | fur trim | gold studs | gold thread | harlequin | heavyweight | heraldry | horns | ink-stained | jewels | lace trim | laced up | medallions | mold | monster motif | moon motif | moth-eaten | muddy | ocean motif | ornate border | oversized | padded | paisley | patches | pearls | perfumed | plated | pockets | punctured | reeking | rhinestones | ribbed | ribbons | ruffles | satin bows | scandalous | secret pocket | sequins | shimmering | sigils | silver studs | silver thread | skintight | skull motif | slashed | sparkling | spiked | spot pattern | star motif | starched | stonewashed | striped | studded | sun designs | sun-faded | tassels | taxidermy | threadbare | tie-died | torn | tree motif | undersized | unfashionable | velvet applique | wave designs | wine-stained | wrinkled | zigzag pattern

# treasure
*book* | *clothing* | *ingredient* | *material* | *monster* skin | *organ* | *potion* | *reward* | *spell* | *weapon* | alchemical device | amulet | armor | arrows | astrolabe | belt | blackmail | blueprints | bow | bowl | bracelet | business record | calligraphy | candelabra | carpet | celestial map | chalice | chandelier | clock | codpiece | comb | compass | contract | couch | crown | crystal | dagger | deed | doll | dress | earrings | embroidery | fine china | fine liquor | furs | gaming set | gemstone | helmet | instrument | ivory carving | lamp | letter | medal | mirror | mosaic | mural | music box | necklace | orrery | painting | pen | perfume | pipe | planar map | porcelain figure | prayer book | printing block | rare coin | relic | ring | royal robes | scabbard | scientific device | scrimshaw | sextant | sheet music | shield | shoes | signet ring | silk | silverware | snuffbox | spear | spices | spyglass | stained glass | state secrets | stone statue | sword | table | tapestry | taxidermy | tea set | telescope | throne | treasure map | trophy | trunk | vase | watch

# material
adamantine | alabaster | amber | ambergris | aquamarine | aventurine | azurite | beryl | black alabaster | black opal | black pearl | bloodstone | bloodwood | blue amber | blue jade | blue opal | bone china | cairngorm | carbuncle | carnelian | cat’s-eye | chalcedony | cherry amber | cinnabar | citrine | crystal | cyclops agate | dendritic agate | diamond | dragon bone | ebony | emerald | fire agate | fire coral | fire jasper | fire opal | garnet | gold | heliodor | hematite | horn | ironwood | jet | kingfisher jade | koa wood | lapis lazuli | lavender jade | lingum vitae | mahogany | malachite | mammoth tusk | moonstone | morganite | moss agate | mother of pearl | narwhal horn | nephrite | obsidian | onyx | orichalcum | palladium | pearl | peridot | petrified wood | pink sapphire | platinum | polyhedroid agate | porcelain | porcelain jasper | porphyry | purpleheart wood | quartz | quetzal jade | rainbow agate | rainbow jasper | rainbow obsidian | redheart wood | rose opal | rose quartz | rosewood | ruby | sandalwood | sapphire | sard | serpentine | silver | snakewood | spinel | star iron | star rose quartz | star sapphire | sunstone | tigerwood | tiger’s eye | topaz | tourmaline | turquoise | turtle shell | unicorn horn | whale ivory

# weapon
arming sword | backsword | bardiche | baton | battleaxe | beheading sword | bill hook | blowgun | blowpipe | boar spear | bolas | boomerang | brass knuckles | bullet crossbow | butterfly sword | censer flail | cestus | chain whip | chakram | claymore | club | crossbow | cutlass | dagger | dao | deer horn knives | dirk | double flail | emeici | falchion | flail | flambard | flying claws | gauntlet sword | gladius | glaive | halberd | hatchet | hook sword | horsebow | hunting knife | ice pick | javelin | katana | katar | khopesh | kukri | lance | lasso | longbow | longsword | lucerne hammer | mace | machete | man catcher | maul | messer | meteor hammer | military fork | morningstar | nunchaku | pickaxe | pike | poleaxe | push dagger | ranseur | rapier | recurve bow | rondel dagger | rope dart | sabre | sai | scimitar | scourge | shortbow | shortsword | shuriken | sickle | side sword | sling | slingshot | spear | staff | stave sling | stiletto | swordstaff | tanto | three-part staff | throwing axe | throwing knife | tiger claws | tonfa | trident | triple flail | wakizashi | war scythe | warhammer | warpick | whip | zweihander

# item trait
