# monster
*animal* | aboleth | air elemental | angel | animated armor | banshee | basilisk | black pudding | blink dog | brain flayer | bugbear | bulette | centaur | chimera | cockatrice | crawling claw | cyclops | darkmantle | death knight | demon | dire wolf | djinn | doppelganger | dragon | dryad | earth elemental | efreet | eye tyrant | fire elemental | gargoyle | gelatinous cube | ghost | ghoul | giant | giant *animal* | giant centipede | giant crab | giant frog | giant scorpion | giant snake | giant spider | giant weasel | gnoll | goblin | golem | gorgon | gray ooze | griffon | hag | harpy | hell hound | hippogriff | hobgoblin | homunculus | hook horror | hydra | imp | intellect devourer | invisible stalker | kobold | kraken | lich | lizardfolk | manticore | merfolk | mimic | minotaur | mummy | myconid | naga | ochre jelly | ogre | orc | owl bear | pegasus | peryton | phase spider | piercer | purple worm | rakshasa | roc | roper | rust monster | satyr | shadow | skeleton | sphinx | stirge | succubus | tarrasque | treant | troll | tyrannosaurus | unicorn | vampire | water elemental | werewolf | wyvern | yeti | zombie

# animal
ant | anteater | ape | badger | bat | bear | beaver | bee | beetle | boar | bulldog | butterfly | camel | cat | centipede | chameleon | cobra | cockroach | constrictor | cougar | cow | coyote | crab | crane | cricket | crocodile | crow | cuckoo | donkey | dragonfly | duck | eagle | eel | elephant | elk | falcon | firefly | fox | frog | goat | goose | hare | hart | hawk | hedgehog | hornet | horse | hound | hummingbird | jackal | jellyfish | leech | lion | locust | lynx | mantis | mastodon | mockingbird | mole | monkey | moose | moth | mouse | mule | octopus | otter | owl | ox | panther | pig | pony | porcupine | possum | rabbit | raccoon | rat | reindeer | rooster | salamander | scorpion | seal | shark | sheep | slug | snail | sparrow | spider | squid | squirrel | tiger | toad | turtle | viper | vulture | walrus | weasel | whale | wolf | wolverine | worm

# organ
antennae | antlers | baleen | bat wings | beaver tail | blowhole | blubber | boar tusks | bushy tail | butterfly wings | carapace | cat tail | chameleon eyes | claws | cobra hood | comb | compound eyes | crab shell | crane beak | crest | cricket legs | detachable tail | digging claws | dragonfly wings | duck bill | eagle wings | elephant tusks | exoskeleton | eye stalks | falcon beak | fangs | feathers | fins | fly wings | frog legs | gills | gliding flaps | hooves | horns | horse tail | humming wings | humps | large ears | large eyes | large incisors | long body | long ears | long legs | long neck | long snout | long tongue | loose skin | mandibles | mane | mantis arms | monkey tail | mouse ears | mucus | otter tail | oyster shell | pelican bill | pig snout | pig tail | pincers | plates | plumage | proboscis | pseudopod | quills | rat tail | scales | scorpion tail | segments | shaggy hair | short fur | siphon | snail shell | spikes | spines | spinnerets | spotted fur | squid beak | stinger | striped fur | stubby tail | suction cups | talons | tendrils | tentacles | toucan beak | trunk | turtle shell | udder | walrus tusks | warts | wattle | webbed feet | webbed hands | whiskers | wool

# monster trait
*animal* form | *color* | *delusion* | *element* skin | *mannerism* | *mutation* | *organ* | *personality* | *potion* | *power* | *scent* | *sound* | *tactic* | *texture* | *weakness* | acid blood | amphibious | ancient | animated | asymmetrical | bloated | bloodless | brittle | burning | charged | clay-like | colossal | crystalline | decaying | elongated | ethereal | ever-young | eyeless | faceless | flaking | flammable | flexible | fluffy | foaming | fungal | fuzzy | gaseous | gelatinous | geometric | hair shedding | hairless | hairy | hardened | headless | ice-cold | illusory | iridescent | large head | legless | liquid | luminous | lumpy | many arms | many eyes | many faces | many heads | many legs | many mouths | mechanical | metallic | mismatched limbs | molting | muscular | no neck | one eye | ooze-form | poisonous | powdery | pulsing | radioactive | reflective | rubbery | shadowy | sharp | short limbs | shriveled | skeletal | skin shedding | slimy | smoking | soft | sooty | sparking | steaming | sticky | stinking | stone-like | stretchy | tiny | translucent | tree-like | two-dimensional | venomous | vibrating | waxy

# power
*effect* | *effect* aura | *effect* blast | *effect* bolt | *effect* ray | *element* aura | *element* blast | *element* bolt | *element* breath | *element* control | *element* ray | *element* wall | *potion* | *spell* | *travel shift* | absorb abilities | acid aura | acid bolt | acid breath | astral projection | attract | beast control | bird control | blind | blur | burrow | chameleon skin | clairaudience | clairvoyance | clone self | create illusion | deafen | drain life | dreamwalk | earthquake | echolocation | electric aura | entangle | entomb | explode | fear aura | fire aura | fire bolt | fire breath | fire control | fire starting | fire wall | fog breath | force wall | friendship aura | gravity control | grow plants | hate aura | healing aura | hypnotism | ice aura | ice bolt | ice breath | ice wall | immovability | insect control | iron wall | laser eyes | levitation | lightning bolt | lightning breath | love aura | magnetism | memory control | mimic sounds | mind control | mold flesh | mold metal | mold stone | paralyze | paranoia aura | petrify | plane shift | plant control | poison aura | poison breath | rage aura | raise dead | remove curse | repulse | rot | shockwave | silence | sleep aura | slow enemies | spirit control | stone wall | summon | swallow whole | swap minds | teleport | time control | undead control | wind control | wind wall

# scent
*animal* | *element* | *food* | *taste* | acid | alcohol | almond | ammonia | baby | balsamic | banana | barnyard | bitter | blood | bread dough | brine | burnt hair | burnt plastic | burnt rubber | burnt sugar | burnt toast | caramel | cedarwood | cherry | chlorine | chocolate | cigarette ash | coffee | cologne | cookies | coppery | cut grass | damp | dog breath | dumpster | earth | exhaust | fish | formaldehyde | garlic | gasoline | ginger | gunpowder | hamster cage | hay | herbal | honey | hops | incense | leather | lemon | licorice | lysol | manure | medicinal | mildew | mint | mold | musk | nutmeg | old books | old socks | olive oil | onion | orange | ozone | paint | peanut butter | peat moss | pine | pineapple | popcorn | rain | resinous | rose | rotten eggs | rotten meat | rotting fruit | seaweed | sewer | skunk | sour milk | spicy | spruce | stagnant | stale beer | stinky cheese | sulfur | sweat | tea | thyme | tobacco | turpentine | vanilla | vinegar | violets | vomit | wet cardboard | wet dog | wood smoke

# sound
