# archetype
adventurous lad, airhead scholar, ambitious novice, animal whisperer, annoying urchin, arrogant doctor, austere priest, beloved general, blunt farmer, classy courtesan, cold governess, corrupt guard, crafty eunuch, criminal genius, cruel count, daring explorer, dashing poet, desperate bandit, disguised beggar, doughty fighter, dumb thug, edgy artist, enigmatic oracle, evil sorcerer, exiled politician, fallen knight, fanatical cultist, fearless daredevil, femme fatale, flamboyant tailor, foppish courtier, gentleman thief, glib merchant, gossiping servant, greedy pirate, grim undertaker, grizzled ranger, gruff blacksmith, hardboiled sleuth, harried student, heartless landlord, hedonist duke, hippy herbalist, honest laborer, hotheaded duelist, idealistic recruit, irritable cook, jaded veteran, jolly monk, learned sage, lovable drunk, lovestruck youth, loyal squire, mad inventor, melancholy queen, misfit outlander, musical prodigy, mysterious figure, narcissist actor, noble prince, nosy innkeeper, oafish earl, old fool, overeager bard, pathetic gambler, penniless writer, pious pilgrim, pitiful orphan, plucky princess, raging barbarian, rash occultist, righteous paladin, roguish smuggler, ruthless assassin, salty mariner, sarcastic jester, senile monarch, serene hermit, silent headsman, sinister vizier, sleazy lawyer, sleepy jailer, slimy henchman, sly trickster, solitary composer, sour bureaucrat, spirited rebel, spoiled heir, starving poacher, strict officer, suspicious spy, swashbuckler, talkative peddler, tyrannical leader, wealthy patron, wild druid, wise wizard, wizened crone, worn-out boxer, zealous inquisitor

# surname 1
adder, apple, ash, bab, bag, bar, barrow, basker, beau, beetle, berry, bird, brandy, bright, brindle, bull, bux, caven, chelten, chester, chuff, chum, clod, cobble, cotten, cress, crom, cumber, dela, dig, draw, dreg, drol, dun, even, ever, fair, fallow, farthing, feather, ferns, fox, gam, gird, gos, grey, grim, half, hard, harrow, hart, haver, hedge, hither, holly, honey, horn, kettle, kings, little, long, love, middle, mug, nether, never, obling, pember, penning, pens, pinker, porten, quill, rath, sack, sallow, salt, scor, sedge, silver, slither, smit, snod, souther, stew, stir, swine, tar, temple, tide, tread, under, vander, weather, wester, wex, whit, wither, withing, wy

# surname 2
bald, barrow, batch, beck, blood, bold, bone, bottle, bottom, bridge, buck, burn, bury, by, caster, castle, chester, child, church, cliff, cloth, coat, combe, cott, dale, dish, ditch, down, fax, feld, fent, fer, field, foot, force, fort, fry, gale, grass, grave, green, grove, ham, hill, hope, lack, lain, land, less, lin, ling, lish, lock, long, low, ly, man, march, mark, marl, marsh, mass, meer, mond, mont, mor, morn, nick, ny, port, ridge, row, sea, set, shot, sop, spoon, staff, stoke, stone, ten, thorn, thorpe, throp, ton, tooth, top, vane, ville, wald, wark, watch, water, well, whistle, wick, wood, worm, worth, worthy

# personality
*archetype*, always bored, anxious, arrogant, blunt, bossy, braggart, bully, can-do attitude, chatterbox, chipper, chummy, competitive, compulsive liar, condescending, conniving, courageous, cowardly, creep, cryptic, debonair, decadent, ditz, dogmatic, droll, epicurean, fanatic, femme fatale, fiercely loyal, flamboyant, flirt, folksy, formal, generous, germaphobe, glutton, gossip, gullible, hard-boiled, holds a grudge, honorable, hothead, humorless, idealistic, imperious, impulsive, insecure, intense, jealous, jerk, klutz, know-it-all, knows everybody, logical, love-struck, manic, melancholic, misanthrope, miserly, morbid, naive, narcissist, nerd, never gives up, obsessive, over-cautious, paranoid, patriotic, pedantic, perfect manners, perfectionist, pious, power-hungry, prejudiced, prickly, proselytizer, righteous, rigid discipline, ruthless, sadist, sarcastic, self-pitying, serene, skeptical, slacker, slovenly, snitch, snob, sophist, spacey, superstitious, terrible memory, thick, toady, totally unreliable, truthful, uptight, whiner, windbag, wisecracking

